Printing the average test results after 10 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
RBT: 500000:  E:      33     23     23    132    189    473     45     69    293    159    161    359    325   2209
AVL: 500000:  E:      21     20     22    105    152    348     47     68    335    165    169    377    324   2095
AA:  500000:  E:      27     26     26    150    169    435    119     77    361    205    178    452    628   2777
BST: 500000:  E:    1978   1006   1007    173    368    766     69    151    667    216    362    750    392   3918
RBT: 500000:  F:      22     21     22    244    143    321    173     70    319    184    171    378    352   2358
AVL: 500000:  F:      22     20     22    241    150    339    179     73    327    170    176    396    331   2387
AA:  500000:  F:      25     23     25    322    164    404    339     69    331    210    168    400    594   3005
BST: 500000:  F:      47     45     47    211    223    497    170    122    543    177    300    634    335   3217
RBT: 600000:  A:      35     24     25    114    178    420     42     82    353    194    196    452    391   2425
AVL: 600000:  A:      19     19     21     79    162    368     43     83    342    199    193    420    378   2272
AA:  600000:  A:      26     25     25    115    171    379    133     87    400    256    223    510    762   3040
RBT: 600000:  B:      33     22     23    174    253    635    215     83    366    202    198    442    405   2978
AVL: 600000:  B:      22     20     22    130    191    452    203     87    383    201    205    468    405   2729
AA:  600000:  B:      27     24     25    184    203    511    404     95    422    262    224    538    786   3633
BST: 600000:  B:    2016   1025   1027    206    500   1003    288    212    903    275    468    982    506   5346
RBT: 600000:  C:      22     21     22    321    187    408     89     87    415    222    213    492    442   2880
AVL: 600000:  C:      22     21     22    306    190    441     89     97    434    220    221    503    435   2940
AA:  600000:  C:      26     24     25    424    212    561    171     97    419    265    213    517    780   3661
BST: 600000:  C:      46     44     47    283    303    653     91    161    716    226    392    843    444   4116
RBT: 600000:  D:      35     20     21    117    188    440    194     81    354    194    198    427    395   2593
AVL: 600000:  D:      19     19     21     79    173    372    182     81    346    191    186    425    380   2419
AA:  600000:  D:      26     24     26    114    180    378    398     85    386    249    219    524    791   3327
RBT: 600000:  E:      33     24     25    165    248    613     55     86    392    220    207    498    413   2900
AVL: 600000:  E:      22     21     22    132    208    466     57     96    413    201    206    478    397   2657
AA:  600000:  E:      27     25     26    182    216    519    143     97    454    258    241    587    798   3498
BST: 600000:  E:    2186   1117   1120    220    499   1029     92    205    837    260    467    968    505   5086
RBT: 600000:  F:      22     22     22    317    182    441    234     90    388    224    217    471    435   3003
AVL: 600000:  F:      22     21     22    308    189    429    224     96    425    216    232    501    423   3047
AA:  600000:  F:      26     24     25    421    215    553    455     96    449    283    250    583    835   4145
BST: 600000:  F:      47     43     46    307    306    643    222    157    716    226    385    827    434   4227
RBT: 700000:  A:      35     24     25    135    211    512     51    100    460    243    244    546    489   2996
AVL: 700000:  A:      19     19     21     94    210    478     49     96    431    229    235    524    491   2840
AA:  700000:  A:      27     27     26    137    224    502    157    123    541    322    321    677    936   3945
RBT: 700000:  B:      33     22     23    194    310    755    259    100    435    245    248    552    523   3626
AVL: 700000:  B:      22     21     22    158    235    550    253    102    449    241    251    559    502   3304
AA:  700000:  B:      28     24     26    219    264    659    493    107    534    318    277    681    954   4511
BST: 700000:  B:    1998   1021   1022    249    594   1212    347    250   1066    324    570   1250    622   6488
RBT: 700000:  C:      22     22     23    401    225    512    108    117    504    273    262    613    535   3555
AVL: 700000:  C:      22     21     22    388    248    538    103    114    516    260    263    613    521   3567
AA:  700000:  C:      26     25     26    505    275    668    190    109    531    340    270    661    937   4490
BST: 700000:  C:      47     44     46    345    384    806    108    210    876    276    480   1022    552   5064
RBT: 700000:  D:      35     20     21    141    220    505    237     97    412    239    244    530    480   3108
AVL: 700000:  D:      19     19     21     93    219    456    216     94    419    228    235    523    478   2963
AA:  700000:  D:      27     25     26    142    216    516    518    114    512    327    285    692   1105   4432
RBT: 700000:  E:      34     24     25    239    355    825     66    109    523    265    266    614    507   3773
AVL: 700000:  E:      22     21     22    156    243    581     71    119    505    240    272    591    495   3278
AA:  700000:  E:      29     26     26    225    295    671    165    123    624    333    314    736   1007   4497
